epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.52879,1.90382,3.56463,1.33958,0.01182,0.20103,0.00718,0.00314,1.54146,3.43997,1.29304,4e-05,4e-05,4e-05
2,2.68095,1.87755,3.54691,1.34821,0.01394,0.23711,0.00877,0.00457,1.47821,3.39793,1.24994,9.901e-05,9.901e-05,9.901e-05
3,3.88184,1.51456,3.23453,1.18543,0.02212,0.37629,0.05228,0.02073,1.5475,3.32148,1.14666,0.000156832,0.000156832,0.000156832
4,5.04067,1.29124,2.48819,1.08045,0.03182,0.54124,0.11105,0.06538,1.28148,3.0825,1.02422,0.000213466,0.000213466,0.000213466
5,6.19958,1.3155,1.72816,1.06554,0.03394,0.57732,0.21941,0.13809,1.36251,2.85338,1.03257,0.000268912,0.000268912,0.000268912
6,7.39736,1.39998,1.43583,1.05939,0.03455,0.58763,0.30962,0.18621,1.37755,2.72647,1.0341,0.00032317,0.00032317,0.00032317
7,8.55839,1.17268,1.28529,1.02665,0.03727,0.63402,0.41241,0.25978,1.36769,2.57591,1.05531,0.00037624,0.00037624,0.00037624
8,9.68415,1.24212,1.28462,1.03285,0.03909,0.66495,0.42473,0.27091,1.35626,2.54322,1.05102,0.000428122,0.000428122,0.000428122
9,10.8503,1.1705,1.21571,1.01022,0.83034,0.32797,0.42808,0.29031,1.31107,2.41311,1.04942,0.000478816,0.000478816,0.000478816
10,11.9993,1.05293,1.11465,0.98317,0.86176,0.19282,0.39199,0.26471,1.33032,2.37238,1.05664,0.000528322,0.000528322,0.000528322
11,13.1238,1.12997,1.14903,1.02581,0.97035,0.20619,0.40438,0.29364,1.29283,2.36331,1.03123,0.00057664,0.00057664,0.00057664
12,14.2795,1.22332,1.12184,1.03161,1,0.20302,0.45387,0.3229,1.23851,2.34316,1.01888,0.00062377,0.00062377,0.00062377
13,15.4461,1.15745,1.07163,1.0282,0.92858,0.1701,0.40892,0.28297,1.27677,2.40935,1.0047,0.000669712,0.000669712,0.000669712
14,16.5616,1.15306,1.00405,0.99333,0.94367,0.17275,0.4203,0.29489,1.27781,2.42073,1.00441,0.000714466,0.000714466,0.000714466
15,17.695,1.11025,0.95513,0.99255,1,0.20721,0.55231,0.37298,1.25804,2.33179,0.99645,0.000758032,0.000758032,0.000758032
16,18.8365,1.11627,0.95068,0.98959,1,0.19745,0.63518,0.41273,1.24962,2.2706,0.98271,0.00080041,0.00080041,0.00080041
17,19.975,1.10806,0.92863,1.00108,1,0.2785,0.68135,0.42768,1.27696,2.22654,0.98446,0.0008416,0.0008416,0.0008416
18,21.1263,1.23178,0.93905,0.99507,1,0.25445,0.68796,0.42954,1.25312,2.15891,0.98893,0.000881602,0.000881602,0.000881602
19,22.2838,1.18329,0.96239,0.9957,0.98246,0.28879,0.68999,0.41624,1.29827,2.06915,0.99117,0.000920416,0.000920416,0.000920416
20,23.4075,1.08578,0.89489,0.97997,0.97143,0.35058,0.69984,0.42366,1.29909,1.96778,0.98611,0.000958042,0.000958042,0.000958042
21,24.5758,1.15575,0.98959,0.99719,0.95359,0.42369,0.7076,0.45626,1.24755,1.85376,0.99578,0.00099448,0.00099448,0.00099448
22,25.7069,1.02389,0.90573,0.99555,0.90683,0.50174,0.7151,0.45031,1.26552,1.74437,0.99425,0.00102973,0.00102973,0.00102973
23,26.8441,1.06603,0.88482,0.98862,0.86437,0.56701,0.73172,0.4633,1.242,1.63881,0.99786,0.00106379,0.00106379,0.00106379
24,28.0399,1.02538,0.8637,0.98378,0.8756,0.58049,0.72925,0.4538,1.26351,1.57747,0.99202,0.00109667,0.00109667,0.00109667
25,29.1888,1.09486,0.88271,0.96219,0.89556,0.6188,0.77465,0.46848,1.30107,1.50525,0.98401,0.00112835,0.00112835,0.00112835
26,30.3723,1.01819,0.85925,0.96141,0.87962,0.66495,0.79276,0.49081,1.28448,1.40802,0.98203,0.00115885,0.00115885,0.00115885
27,31.5162,1.10569,0.86658,0.96422,0.85087,0.69588,0.79143,0.47788,1.27027,1.31726,0.98542,0.00118816,0.00118816,0.00118816
28,32.6261,1.03613,0.8873,0.97305,0.78307,0.6701,0.75175,0.45867,1.28025,1.26527,0.98058,0.00121628,0.00121628,0.00121628
29,33.7485,1.08247,0.86406,0.97478,0.78307,0.6701,0.75175,0.45867,1.28025,1.26527,0.98058,0.00124322,0.00124322,0.00124322
30,34.8683,1.079,0.8631,0.95935,0.74838,0.6701,0.731,0.45151,1.23793,1.2325,0.97864,0.00126896,0.00126896,0.00126896
31,35.9866,1.05575,0.81422,0.95031,0.82677,0.68882,0.75334,0.47254,1.19021,1.20651,0.96779,0.00129352,0.00129352,0.00129352
32,37.1072,1.00373,0.7979,0.94779,0.83849,0.72252,0.78965,0.4802,1.20849,1.13901,0.97978,0.00131689,0.00131689,0.00131689
33,38.192,1.0329,0.79735,0.94627,0.83849,0.72252,0.78965,0.4802,1.20849,1.13901,0.97978,0.00133907,0.00133907,0.00133907
34,39.285,0.95553,0.8048,0.95905,0.85491,0.75258,0.8178,0.48898,1.25684,1.12319,0.98813,0.0013466,0.0013466,0.0013466
35,40.4333,1.0117,0.77673,0.93142,0.81953,0.74907,0.79183,0.47635,1.24974,1.20279,0.99439,0.0013268,0.0013268,0.0013268
36,41.5472,1.07433,0.80073,0.9527,0.77957,0.74742,0.7534,0.46633,1.21523,1.23217,0.99538,0.001307,0.001307,0.001307
37,42.6547,0.979,0.75739,0.94942,0.77957,0.74742,0.7534,0.46633,1.21523,1.23217,0.99538,0.0012872,0.0012872,0.0012872
38,43.7739,1.00762,0.76079,0.9524,0.77172,0.71134,0.76649,0.45814,1.2317,1.21178,1.01074,0.0012674,0.0012674,0.0012674
39,44.8827,0.88491,0.74995,0.94172,0.81368,0.7732,0.80544,0.49229,1.21472,1.1439,1.00505,0.0012476,0.0012476,0.0012476
40,46.0336,0.96794,0.76164,0.96214,0.84731,0.7723,0.82725,0.51597,1.20955,1.10978,0.97896,0.0012278,0.0012278,0.0012278
41,47.1782,0.94408,0.77184,0.9457,0.84731,0.7723,0.82725,0.51597,1.20955,1.10978,0.97896,0.001208,0.001208,0.001208
42,48.3342,1.0278,0.77433,0.97174,0.86828,0.7475,0.82395,0.50761,1.22787,1.14596,0.96964,0.0011882,0.0011882,0.0011882
43,49.4618,0.99444,0.76227,0.9511,0.90822,0.76514,0.84211,0.52932,1.19951,1.12795,0.9598,0.0011684,0.0011684,0.0011684
44,50.6014,0.94448,0.77001,0.94785,0.92195,0.79158,0.85742,0.54344,1.18559,1.02758,0.95343,0.0011486,0.0011486,0.0011486
45,51.7517,0.96326,0.7406,0.93248,0.92195,0.79158,0.85742,0.54344,1.18559,1.02758,0.95343,0.0011288,0.0011288,0.0011288
46,52.8982,0.95861,0.72558,0.9376,0.95023,0.78738,0.87579,0.55248,1.18198,0.89529,0.96442,0.001109,0.001109,0.001109
47,54.07,1.05997,0.73346,0.92846,0.88592,0.84021,0.894,0.5579,1.12928,0.79456,0.96099,0.0010892,0.0010892,0.0010892
48,55.2369,0.99008,0.75585,0.94004,0.93735,0.77129,0.8851,0.57091,1.10118,0.76059,0.96716,0.0010694,0.0010694,0.0010694
49,56.3927,0.91811,0.71102,0.93077,0.93735,0.77129,0.8851,0.57091,1.10118,0.76059,0.96716,0.0010496,0.0010496,0.0010496
50,57.5614,0.88162,0.71017,0.94086,0.88665,0.76613,0.87418,0.5767,1.07172,0.74854,0.96109,0.0010298,0.0010298,0.0010298
51,58.7125,0.89818,0.75177,0.95183,0.89975,0.75773,0.87021,0.55704,1.09508,0.77366,0.96765,0.00101,0.00101,0.00101
52,59.8258,0.91787,0.71024,0.95004,0.89188,0.80789,0.87069,0.5512,1.12218,0.82255,0.97919,0.0009902,0.0009902,0.0009902
53,60.9248,1.02353,0.7207,0.93289,0.89188,0.80789,0.87069,0.5512,1.12218,0.82255,0.97919,0.0009704,0.0009704,0.0009704
54,62.0382,0.857,0.67321,0.91762,0.89598,0.84356,0.89599,0.55749,1.10246,0.82607,0.95151,0.0009506,0.0009506,0.0009506
55,63.1561,0.95474,0.69501,0.92337,0.90759,0.8606,0.9152,0.56538,1.09011,0.80483,0.94789,0.0009308,0.0009308,0.0009308
56,64.2741,0.92591,0.68534,0.94838,0.91521,0.8346,0.91069,0.56928,1.10635,0.76485,0.94783,0.000911,0.000911,0.000911
57,65.4,0.99646,0.69967,0.9154,0.91521,0.8346,0.91069,0.56928,1.10635,0.76485,0.94783,0.0008912,0.0008912,0.0008912
58,66.542,0.97905,0.67677,0.91193,0.92282,0.80928,0.91034,0.58083,1.08279,0.73331,0.9472,0.0008714,0.0008714,0.0008714
59,67.7124,0.99307,0.66973,0.92245,0.89415,0.82731,0.90705,0.58748,1.07682,0.72554,0.94709,0.0008516,0.0008516,0.0008516
60,68.8716,0.95465,0.67327,0.91494,0.88558,0.83781,0.9026,0.57992,1.09814,0.73553,0.944,0.0008318,0.0008318,0.0008318
61,69.9783,0.82499,0.77409,0.90878,0.88558,0.83781,0.9026,0.57992,1.09814,0.73553,0.944,0.000812,0.000812,0.000812
62,71.0939,0.94659,0.67178,0.90766,0.90556,0.81959,0.90169,0.56984,1.10493,0.7388,0.94505,0.0007922,0.0007922,0.0007922
63,72.2156,0.94944,0.72451,0.93502,0.92891,0.8083,0.90537,0.58065,1.0849,0.72298,0.93969,0.0007724,0.0007724,0.0007724
64,73.3152,0.85824,0.64563,0.92319,0.90456,0.81443,0.8996,0.57911,1.06244,0.70804,0.9393,0.0007526,0.0007526,0.0007526
65,74.4267,0.8406,0.61524,0.91989,0.90456,0.81443,0.8996,0.57911,1.06244,0.70804,0.9393,0.0007328,0.0007328,0.0007328
66,75.5786,0.82947,0.63497,0.90598,0.91398,0.82153,0.89776,0.59077,1.05273,0.71259,0.93881,0.000713,0.000713,0.000713
67,76.7582,0.87537,0.64651,0.89756,0.93563,0.81443,0.89869,0.58956,1.04922,0.72098,0.93797,0.0006932,0.0006932,0.0006932
68,77.8955,0.89515,0.65097,0.90893,0.92635,0.84288,0.91171,0.58587,1.06574,0.72301,0.94507,0.0006734,0.0006734,0.0006734
69,78.9965,0.88872,0.6375,0.91675,0.92635,0.84288,0.91171,0.58587,1.06574,0.72301,0.94507,0.0006536,0.0006536,0.0006536
70,80.1152,0.86369,0.62419,0.91756,0.92667,0.8299,0.91941,0.57495,1.07427,0.71273,0.94549,0.0006338,0.0006338,0.0006338
71,81.2141,0.79124,0.63767,0.9031,0.94132,0.82693,0.91498,0.57912,1.07163,0.7031,0.94002,0.000614,0.000614,0.000614
72,82.3198,0.85415,0.61975,0.90227,0.92092,0.82474,0.90944,0.58869,1.06924,0.69863,0.93801,0.0005942,0.0005942,0.0005942
73,83.4339,0.82945,0.62207,0.92148,0.92092,0.82474,0.90944,0.58869,1.06924,0.69863,0.93801,0.0005744,0.0005744,0.0005744
74,84.5325,0.81332,0.62779,0.90881,0.90221,0.80844,0.89609,0.59102,1.06332,0.70133,0.93666,0.0005546,0.0005546,0.0005546
75,85.6822,0.88278,0.63684,0.88534,0.90513,0.78689,0.89095,0.58464,1.06348,0.70593,0.92933,0.0005348,0.0005348,0.0005348
76,86.8047,0.83254,0.63317,0.89912,0.88443,0.82837,0.898,0.58964,1.06672,0.69963,0.92884,0.000515,0.000515,0.000515
77,87.9076,0.79902,0.57985,0.90655,0.88443,0.82837,0.898,0.58964,1.06672,0.69963,0.92884,0.0004952,0.0004952,0.0004952
78,89.0332,0.86965,0.60403,0.8985,0.91437,0.82561,0.90984,0.59779,1.04456,0.68482,0.92754,0.0004754,0.0004754,0.0004754
79,90.1968,0.78368,0.58665,0.89692,0.89997,0.84021,0.91449,0.60873,1.03545,0.68058,0.92525,0.0004556,0.0004556,0.0004556
80,91.3463,0.79456,0.59919,0.89216,0.88677,0.85052,0.91607,0.60772,1.02834,0.67866,0.92505,0.0004358,0.0004358,0.0004358
81,92.4576,0.84772,0.59304,0.88354,0.88677,0.85052,0.91607,0.60772,1.02834,0.67866,0.92505,0.000416,0.000416,0.000416
82,93.5932,0.81036,0.61511,0.89111,0.90658,0.85036,0.91806,0.61682,1.02863,0.67961,0.92491,0.0003962,0.0003962,0.0003962
83,94.7794,0.82832,0.60891,0.90303,0.90921,0.86082,0.91744,0.60938,1.0548,0.68216,0.92982,0.0003764,0.0003764,0.0003764
84,95.895,0.71197,0.58954,0.89408,0.91283,0.87113,0.92119,0.60186,1.06669,0.68343,0.93549,0.0003566,0.0003566,0.0003566
85,97.0043,0.80512,0.57911,0.88045,0.91283,0.87113,0.92119,0.60186,1.06669,0.68343,0.93549,0.0003368,0.0003368,0.0003368
86,98.1394,0.85862,0.6047,0.88988,0.91822,0.87113,0.92382,0.60896,1.0572,0.67841,0.93671,0.000317,0.000317,0.000317
87,99.2467,0.7482,0.60615,0.8883,0.9422,0.87113,0.93042,0.60601,1.04887,0.67153,0.93298,0.0002972,0.0002972,0.0002972
