epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.36221,0.2905,0.99424,1,0.32067,0.000236624,0.000236624,0.000236624
2,13.9966,0.03627,1,1,0.3143,0.000469925,0.000469925,0.000469925
3,20.5323,0.02204,1,1,0.31454,0.000698514,0.000698514,0.000698514
4,27.0147,0.01574,1,1,0.31334,0.000692794,0.000692794,0.000692794
5,33.5044,0.01099,1,1,0.31669,0.000685726,0.000685726,0.000685726
6,39.9754,0.01055,1,1,0.31332,0.000678657,0.000678657,0.000678657
7,46.4151,0.0107,1,1,0.31323,0.000671588,0.000671588,0.000671588
8,52.8724,0.01999,1,1,0.31514,0.00066452,0.00066452,0.00066452
9,59.551,0.00923,1,1,0.31323,0.000657451,0.000657451,0.000657451
10,66.1935,0.00819,1,1,0.31345,0.000650383,0.000650383,0.000650383
11,72.8631,0.00759,1,1,0.31323,0.000643314,0.000643314,0.000643314
12,79.5385,0.00399,1,1,0.31323,0.000636245,0.000636245,0.000636245
13,86.1431,0.0039,1,1,0.31323,0.000629177,0.000629177,0.000629177
14,92.7301,0.00658,1,1,0.31323,0.000622108,0.000622108,0.000622108
15,99.3958,0.00446,1,1,0.31323,0.00061504,0.00061504,0.00061504
16,105.908,0.00505,1,1,0.31325,0.000607971,0.000607971,0.000607971
17,112.534,0.00412,1,1,0.31323,0.000600902,0.000600902,0.000600902
18,119.28,0.00155,1,1,0.31323,0.000593834,0.000593834,0.000593834
19,125.832,0.00443,1,1,0.31352,0.000586765,0.000586765,0.000586765
20,132.462,0.03699,1,1,0.31332,0.000579697,0.000579697,0.000579697
21,139.204,0.01619,1,1,0.31332,0.000572628,0.000572628,0.000572628
22,145.78,0.00884,1,1,0.3133,0.000565559,0.000565559,0.000565559
23,152.564,0.00601,1,1,0.31323,0.000558491,0.000558491,0.000558491
24,159.219,0.00281,1,1,0.31323,0.000551422,0.000551422,0.000551422
25,165.994,0.00384,1,1,0.31323,0.000544354,0.000544354,0.000544354
26,172.63,0.0015,1,1,0.31325,0.000537285,0.000537285,0.000537285
27,179.279,0.00435,1,1,0.31323,0.000530216,0.000530216,0.000530216
28,185.923,0.00251,1,1,0.31323,0.000523148,0.000523148,0.000523148
29,192.625,0.00353,1,1,0.31323,0.000516079,0.000516079,0.000516079
30,199.247,0.00934,1,1,0.31323,0.000509011,0.000509011,0.000509011
31,205.808,0.00104,1,1,0.31323,0.000501942,0.000501942,0.000501942
32,212.523,0.00132,1,1,0.31323,0.000494873,0.000494873,0.000494873
33,219.356,0.00037,1,1,0.31323,0.000487805,0.000487805,0.000487805
34,226.12,0.00356,1,1,0.31323,0.000480736,0.000480736,0.000480736
35,233.056,0.00336,1,1,0.31377,0.000473668,0.000473668,0.000473668
36,239.715,0.00138,1,1,0.31343,0.000466599,0.000466599,0.000466599
37,246.376,0.00208,1,1,0.31325,0.00045953,0.00045953,0.00045953
38,253.178,0.0007,1,1,0.31323,0.000452462,0.000452462,0.000452462
39,259.832,0.00217,1,1,0.31323,0.000445393,0.000445393,0.000445393
40,266.368,0.00186,1,1,0.31323,0.000438325,0.000438325,0.000438325
41,273.055,0.00138,1,1,0.31323,0.000431256,0.000431256,0.000431256
42,279.706,0.00666,1,1,0.31323,0.000424187,0.000424187,0.000424187
43,286.447,0.00598,1,1,0.31323,0.000417119,0.000417119,0.000417119
44,293.123,0.0023,1,1,0.31323,0.00041005,0.00041005,0.00041005
45,299.696,0.00184,1,1,0.31323,0.000402982,0.000402982,0.000402982
46,306.362,0.00069,1,1,0.31323,0.000395913,0.000395913,0.000395913
47,312.998,0.00059,1,1,0.31323,0.000388844,0.000388844,0.000388844
48,319.61,0.00027,1,1,0.31323,0.000381776,0.000381776,0.000381776
49,326.338,0.00041,1,1,0.31323,0.000374707,0.000374707,0.000374707
50,332.984,0.00043,1,1,0.31323,0.000367639,0.000367639,0.000367639
51,339.648,0.00055,1,1,0.31323,0.00036057,0.00036057,0.00036057
52,346.274,0.00054,1,1,0.31323,0.000353501,0.000353501,0.000353501
53,352.983,0.00035,1,1,0.31323,0.000346433,0.000346433,0.000346433
54,359.577,0.00016,1,1,0.31323,0.000339364,0.000339364,0.000339364
55,366.202,0.00018,1,1,0.31323,0.000332296,0.000332296,0.000332296
56,372.837,0.00011,1,1,0.31323,0.000325227,0.000325227,0.000325227
57,379.417,0.00514,1,1,0.31325,0.000318158,0.000318158,0.000318158
58,386.086,0.00119,1,1,0.31323,0.00031109,0.00031109,0.00031109
59,392.699,0.00018,1,1,0.31323,0.000304021,0.000304021,0.000304021
60,399.25,0.00024,1,1,0.31323,0.000296953,0.000296953,0.000296953
61,405.905,0.00025,1,1,0.31323,0.000289884,0.000289884,0.000289884
62,412.534,0.00258,1,1,0.31323,0.000282815,0.000282815,0.000282815
63,419.097,0.00087,1,1,0.31323,0.000275747,0.000275747,0.000275747
64,425.766,0.00038,1,1,0.31323,0.000268678,0.000268678,0.000268678
65,432.467,0.0003,1,1,0.31323,0.00026161,0.00026161,0.00026161
66,439.368,0.00033,1,1,0.31323,0.000254541,0.000254541,0.000254541
67,446.467,0.00169,1,1,0.31323,0.000247472,0.000247472,0.000247472
68,453.167,0.00068,1,1,0.31323,0.000240404,0.000240404,0.000240404
69,459.928,0.00054,1,1,0.31323,0.000233335,0.000233335,0.000233335
70,466.751,0.00012,1,1,0.31323,0.000226267,0.000226267,0.000226267
71,473.603,0.00021,1,1,0.31323,0.000219198,0.000219198,0.000219198
72,480.632,0.00067,1,1,0.31323,0.000212129,0.000212129,0.000212129
73,487.223,0.0004,1,1,0.31323,0.000205061,0.000205061,0.000205061
74,494.114,0.0003,1,1,0.31323,0.000197992,0.000197992,0.000197992
75,500.847,0.00157,1,1,0.31323,0.000190924,0.000190924,0.000190924
76,507.609,0.00085,1,1,0.31323,0.000183855,0.000183855,0.000183855
77,514.461,0.00022,1,1,0.31323,0.000176786,0.000176786,0.000176786
78,521.269,0.00062,1,1,0.31323,0.000169718,0.000169718,0.000169718
79,528.077,0.0025,1,1,0.31323,0.000162649,0.000162649,0.000162649
80,535.06,0.00085,1,1,0.31323,0.000155581,0.000155581,0.000155581
81,541.878,9e-05,1,1,0.31323,0.000148512,0.000148512,0.000148512
82,548.763,0.00043,1,1,0.31323,0.000141443,0.000141443,0.000141443
83,555.518,0.00018,1,1,0.31323,0.000134375,0.000134375,0.000134375
84,562.401,0.00032,1,1,0.31323,0.000127306,0.000127306,0.000127306
85,569.108,7e-05,1,1,0.31323,0.000120238,0.000120238,0.000120238
86,575.765,0.00011,1,1,0.31323,0.000113169,0.000113169,0.000113169
87,582.396,0.00015,1,1,0.31323,0.0001061,0.0001061,0.0001061
88,589.14,0.00056,1,1,0.31323,9.90318e-05,9.90318e-05,9.90318e-05
89,596.104,0.00024,1,1,0.31323,9.19632e-05,9.19632e-05,9.19632e-05
90,602.912,0.00091,1,1,0.31323,8.48946e-05,8.48946e-05,8.48946e-05
91,610.21,7e-05,1,1,0.31323,7.7826e-05,7.7826e-05,7.7826e-05
92,616.934,6e-05,1,1,0.31323,7.07574e-05,7.07574e-05,7.07574e-05
93,623.571,0.0001,1,1,0.31323,6.36888e-05,6.36888e-05,6.36888e-05
94,630.171,0.00044,1,1,0.31323,5.66202e-05,5.66202e-05,5.66202e-05
95,636.745,7e-05,1,1,0.31323,4.95516e-05,4.95516e-05,4.95516e-05
96,643.495,0.00021,1,1,0.31323,4.2483e-05,4.2483e-05,4.2483e-05
97,650.127,0.00018,1,1,0.31323,3.54144e-05,3.54144e-05,3.54144e-05
98,656.642,0.0002,1,1,0.31323,2.83458e-05,2.83458e-05,2.83458e-05
99,663.277,5e-05,1,1,0.31323,2.12772e-05,2.12772e-05,2.12772e-05
100,669.906,5e-05,1,1,0.31323,1.42086e-05,1.42086e-05,1.42086e-05
