epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.47624,1.93637,4.91975,0.87358,0.00467,0.46575,0.00351,0.00165,1.29998,3.99276,0.81463,0.00025722,0.00025722,0.00025722
2,11.8559,1.32676,2.84136,0.81562,0.00302,0.30137,0.00198,0.00137,1.17357,3.63334,0.81216,0.000524368,0.000524368,0.000524368
3,17.3726,1.23102,2.28774,0.80714,0.00905,0.86758,0.3584,0.23944,1.16595,3.2783,0.81263,0.000787036,0.000787036,0.000787036
4,22.9026,1.16489,2.07844,0.80221,0.0098,0.9589,0.66302,0.47998,1.07112,2.84999,0.81313,0.00104522,0.00104522,0.00104522
5,28.3025,1.14282,1.93263,0.80442,0.57004,0.21918,0.55298,0.38155,1.09827,2.39773,0.81492,0.00129893,0.00129893,0.00129893
6,33.7221,1.1209,1.75386,0.8081,0.95795,0.64922,0.91346,0.63265,1.09902,1.93747,0.81791,0.00137005,0.00137005,0.00137005
7,39.0987,1.08146,1.60816,0.80292,0.90926,0.853,0.93183,0.65346,1.05749,1.33825,0.81322,0.00135826,0.00135826,0.00135826
8,44.485,1.10979,1.42034,0.80562,0.9075,0.90746,0.9511,0.70187,0.97463,0.90626,0.8102,0.00134648,0.00134648,0.00134648
9,49.9054,1.04342,1.28037,0.79935,0.94953,0.93535,0.96597,0.69927,0.98881,0.69467,0.80649,0.00133469,0.00133469,0.00133469
10,55.2717,0.97991,1.16785,0.79605,0.96177,0.94941,0.97072,0.76421,0.9018,0.60627,0.80507,0.0013229,0.0013229,0.0013229
11,60.67,0.9607,1.09929,0.7947,0.95003,0.95349,0.97011,0.74626,0.92704,0.58909,0.80693,0.00131111,0.00131111,0.00131111
12,66.0407,0.96904,1.00958,0.79447,0.97458,0.96251,0.97757,0.75124,0.88402,0.51394,0.80185,0.00129932,0.00129932,0.00129932
13,71.3911,0.89215,0.91727,0.78803,0.98266,0.98006,0.98517,0.77399,0.86925,0.49383,0.80368,0.00128753,0.00128753,0.00128753
14,76.8479,0.93787,0.90499,0.79312,0.97386,0.97687,0.9899,0.75777,0.95927,0.50755,0.80582,0.00127574,0.00127574,0.00127574
15,82.2302,0.91668,0.84707,0.78758,0.95354,0.96558,0.98789,0.74248,0.93847,0.53312,0.80687,0.00126395,0.00126395,0.00126395
